From,To,Capacity TTC (MW),Energy TTC (MW),Transmission Tariff (2016 mills/kWh)
ERC_PHDL,ERC_WEST,3332,3702,0
ERC_REST,ERC_WEST,5529,5529,0
ERC_REST,SPP_WEST,600,600,6
ERC_FRNT,SPP_WEST,860,860,6
ERC_FRNT,ERC_REST,860,860,0
ERC_GWAY,SPP_WEST,845,845,6
ERC_GWAY,ERC_REST,845,845,0
ERC_WEST,ERC_REST,10555,10555,0
ERC_WEST,SPP_WEST,220,220,6
ERC_WEST,ERC_PHDL,3332,3702,0
FRCC,S_SOU,3600,3600,8
NENG_CT,NENGREST,2950,2950,0
NENG_CT,NY_Z_G-I,600,600,3
NENG_CT,NY_Z_K,760,760,3
NENGREST,NENG_CT,2950,2950,0
NENGREST,NENG_ME,2000,2000,0
NENGREST,NY_Z_F,800,800,3
NENGREST,NY_Z_D,0,0,3
NENGREST,CN_PQ,1650,1650,8
NENG_ME,NENGREST,2000,2000,0
NENG_ME,CN_NB,800,800,8
MIS_AR,MIS_LA,1732,2688,0
MIS_AR,S_D_AECI,1039,2423,1
MIS_AR,SPP_WEST,792,1571,6
MIS_AR,SPP_N,0,167,6
MIS_AR,S_C_TVA,2143,2546,6
MIS_IL,S_C_TVA,1200,1500,6
MIS_IL,MIS_IA,0,100,0
MIS_IL,PJM_West,0,1300,3
MIS_IL,PJM_COMD,3200,3700,3
MIS_IL,MIS_INKY,956,2269,0
MIS_IL,MIS_MIDA,716,1174,0
MIS_IL,MIS_MO,3400,4500,0
MIS_INKY,S_C_KY,2245,4108,6
MIS_INKY,S_C_TVA,300,500,6
MIS_INKY,MIS_LMI,0,100,0
MIS_INKY,MIS_IL,956,2269,0
MIS_INKY,PJM_West,5441,6509,3
MIS_INKY,PJM_COMD,2044,3355,3
MIS_IA,PJM_COMD,0,600,3
MIS_IA,MIS_WUMS,0,0,0
MIS_IA,MIS_IL,0,100,0
MIS_IA,MIS_MIDA,1616,3074,0
MIS_IA,MIS_MO,223,711,0
MIS_IA,MIS_MNWI,1195,2000,0
MIS_IA,SPP_WAUE,0,100,6
MIS_IA,S_D_AECI,0,100,1
MIS_MIDA,SPP_NEBR,1912,2868,6
MIS_MIDA,SPP_N,0,50,6
MIS_MIDA,MIS_IA,1616,3074,0
MIS_MIDA,MIS_IL,716,1174,0
MIS_MIDA,MIS_MO,716,1574,0
MIS_MIDA,MIS_MNWI,0,0,0
MIS_MIDA,SPP_WAUE,600,1000,6
MIS_MIDA,PJM_COMD,2000,3000,3
MIS_MIDA,S_D_AECI,0,30,1
MIS_LA,MIS_WOTA,1200,2122,0
MIS_LA,SPP_WEST,905,1174,6
MIS_LA,MIS_AR,1732,2688,0
MIS_LA,S_SOU,797,1732,6
MIS_LA,MIS_D_MS,1732,2070,0
MIS_LA,MIS_AMSO,1699,2402,0
MIS_LMI,MIS_WUMS,0,100,0
MIS_LMI,PJM_West,1400,2800,3
MIS_LMI,MIS_INKY,0,100,0
MIS_LMI,CN_ON,400,1200,8
MIS_LMI,PJM_ATSI,1262,2036,3
MIS_MNWI,MIS_WUMS,1480,2400,0
MIS_MNWI,MIS_IA,1195,2000,0
MIS_MNWI,MIS_MAPP,2150,5000,6
MIS_MNWI,MIS_MIDA,0,0,0
MIS_MNWI,SPP_WAUE,2000,3000,6
MIS_MNWI,CN_MB,200,1700,8
MIS_MNWI,CN_ON,0,162,8
MIS_D_MS,S_SOU,94,432,6
MIS_D_MS,MIS_LA,1732,2070,0
MIS_D_MS,MIS_AMSO,200,1200,0
MIS_D_MS,S_C_TVA,1949,3767,6
MIS_MO,SPP_N,300,1000,6
MIS_MO,MIS_IA,223,711,0
MIS_MO,MIS_IL,3400,4500,0
MIS_MO,MIS_MIDA,716,1574,0
MIS_MO,S_D_AECI,2100,3235,1
MIS_MAPP,MIS_MNWI,2150,5000,6
MIS_MAPP,SPP_WAUE,1000,1500,6
MIS_MAPP,CN_MB,300,500,8
MIS_AMSO,MIS_LA,1699,2402,0
MIS_AMSO,MIS_D_MS,200,1200,0
MIS_WOTA,MIS_LA,1200,2122,0
MIS_WOTA,SPP_WEST,0,1121,6
MIS_WUMS,PJM_COMD,1200,2200,3
MIS_WUMS,MIS_LMI,0,100,0
MIS_WUMS,MIS_MNWI,1480,2400,0
MIS_WUMS,MIS_IA,0,0,0
NY_Z_A,PJM_PENE,500,1000,6
NY_Z_A,CN_ON,1300,1300,8
NY_Z_A,NY_Z_B,1930,2070,0
NY_Z_B,NY_Z_A,2270,2410,0
NY_Z_B,NY_Z_C&E,1300,1300,0
NY_Z_C&E,PJM_PENE,755,1500,6
NY_Z_C&E,NY_Z_B,1300,1300,0
NY_Z_C&E,NY_Z_D,1600,1600,0
NY_Z_C&E,NY_Z_F,3250,3250,0
NY_Z_C&E,NY_Z_G-I,2150,2150,0
NY_Z_D,CN_PQ,1000,1000,8
NY_Z_D,NY_Z_C&E,2650,2650,0
NY_Z_D,NENGREST,150,150,3
NY_Z_D,CN_ON,300,300,8
NY_Z_F,NY_Z_C&E,1999,1999,0
NY_Z_F,NY_Z_G-I,3475,3475,0
NY_Z_F,NENGREST,800,800,3
NY_Z_G-I,NY_Z_C&E,1600,1600,0
NY_Z_G-I,NY_Z_F,1999,1999,0
NY_Z_G-I,NY_Z_J,4450,4450,0
NY_Z_G-I,NY_Z_K,1290,1290,0
NY_Z_G-I,NENG_CT,800,800,3
NY_Z_J,NY_Z_G-I,1999,1999,0
NY_Z_J,NY_Z_K,175,175,0
NY_Z_K,PJM_EMAC,660,660,6
NY_Z_K,NY_Z_G-I,490,490,0
NY_Z_K,NY_Z_J,283,283,0
NY_Z_K,NENG_CT,760,760,3
PJM_West,S_VACA,1219,2208,6
PJM_West,S_C_TVA,2119,3118,6
PJM_West,S_C_KY,1214,2154,6
PJM_West,PJM_AP,4800,6300,0
PJM_West,PJM_Dom,1530,3800,0
PJM_West,PJM_COMD,980,4000,0
PJM_West,PJM_ATSI,7400,9700,0
PJM_West,MIS_LMI,1400,2800,3
PJM_West,MIS_IL,0,1300,3
PJM_West,MIS_INKY,5125,6415,3
PJM_AP,PJM_SMAC,1100,2200,0
PJM_AP,PJM_Dom,5400,8000,0
PJM_AP,PJM_West,4800,6300,0
PJM_AP,PJM_PENE,2785,5577.783964,0
