IPM Region,State,Resource Class,1,2,3,4,5,6
ERC_PHDL,TX,6,931,987,997,"1,061",901,"377,324"
,,7,952,888,993,"1,061",996,"119,753"
ERC_REST,TX,5,"1,534","3,069","3,069","3,731","2,196","2,112,019"
,,6,"2,307","3,461","1,154","5,009","2,504","3,112,597"
,,7,"2,820","3,163","2,740","3,184","3,020","135,666"
ERC_WEST,TX,6,51,"1,204","1,204","1,204","1,204","1,357,788"
,,7,853,"1,092",856,"1,051",701,"1,283,741"
,,8,979,968,"1,043",997,973,"178,966"
FRCC,FL,5,"2,846","2,413","3,377","3,063","2,365","467,320"
,,6,"2,420","2,420","2,420","2,420","4,841","1,723,809"
,,7,"3,000","2,986","1,203",,,
MIS_AMSO,LA,5,817,604,"1,207","1,207",,"244,577"
,,6,861,993,"1,126",953,687,"23,280"
MIS_AR,AR,4,833,"1,151",964,"1,000",986,"37,471"
,,5,865,845,845,845,845,"1,244,040"
MIS_D_MS,MS,5,863,"1,049",727,727,"1,454","1,080,840"
,,6,968,"1,031",980,184,,
MIS_IA,IA,3,900,990,"1,043","1,041",780,"267,559"
,,4,873,"1,004","1,070",828,828,"890,177"
,MN,3,885,"1,096","1,013",963,984,"39,996"
,,4,989,989,997,971,940,"60,612"
MIS_IL,IL,4,"1,007","1,007","2,014","1,007","2,103","1,605,712"
,,5,"1,464",663,,,,
MIS_INKY,IN,3,"2,446","2,323","2,600","2,372","2,680","102,951"
,,4,"1,836","2,753","2,792",937,"2,306","1,308,345"
,KY,4,"2,447","2,423","2,507","2,523","2,517","275,291"
,,5,"1,502",,,,,
MIS_LA,LA,5,"1,479","1,479","1,479","1,180","1,180","1,029,195"
,,6,"1,436","1,463","1,459","1,638","1,436","7,009"
MIS_LMI,MI,3,"2,275","2,275","2,943","2,005","2,658","1,545,120"
,,4,"2,265","2,680","2,455","2,408","2,635","33,051"
MIS_MAPP,MT,3,367,551,469,570,,"1,048,166"
,,4,435,439,528,301,606,"1,059,816"
,ND,3,476,286,573,573,444,"2,695,046"
,,4,440,440,440,440,440,"482,930"
,SD,3,441,555,476,424,591,"8,876"
,,4,458,511,439,556,474,"30,632"
MIS_MIDA,IA,3,969,"1,020",953,"1,012",886,"110,034"
,,4,974,984,888,"1,093",798,"970,443"
MIS_MNWI,MI,3,"2,497","2,486","2,517","2,436","2,495","2,963"
,MN,3,"2,160","2,374","2,587","2,587","2,223","3,098,106"
,,4,"2,395","2,561","2,495","2,450","2,259","246,574"
,SD,3,"2,485","2,515","2,472","2,523","2,372","2,724"
,,4,"2,456","2,412","2,523","2,602","2,442","65,416"
,WI,3,"2,472","2,260","2,704","2,507","2,357","715,520"
,,4,"2,417","2,535","2,504","1,225",,
MIS_MO,IA,4,972,933,"1,006","1,072",974,"24,231"
,MO,4,,"1,123","1,123","1,123","1,123","1,271,603"
,,5,862,"1,114",935,"1,067",923,"16,589"
MIS_WOTA,LA,5,684,"1,027","1,133","1,011","1,041","124,444"
,,6,990,325,,,,
,TX,5,777,"1,108",991,"1,122",230,"328,790"
MIS_WUMS,MI,3,"1,335","1,657","1,458","1,266","1,732","603,403"
,WI,3,"1,228","1,312","1,397","1,397","1,938","1,237,489"
,,4,"1,152","1,481","1,690","1,196","1,196","255,688"
NENG_CT,CT,3,808,808,"1,203",791,"1,186","151,570"
,,4,742,742,"1,484",742,742,"170,080"
NENG_ME,ME,3,326,652,326,652,536,"1,395,272"
,,4,480,501,468,539,135,
NENGREST,MA,3,"2,387","2,387","2,413","2,413","2,413","358,124"
,,4,"1,988","2,981","1,856","2,588","2,874","188,496"
,NH,3,"2,367","2,442","2,577","2,208","2,665","202,199"
,RI,3,"2,420","2,511","2,521","2,428","2,549","21,116"
,,4,"2,280","2,643","2,558","2,452","2,490","64,567"
,VT,3,"2,341","2,303","2,218","2,660","2,856","203,250"
NY_Z_A,NY,3,462,462,530,491,385,"201,662"
NY_Z_B,NY,3,395,581,371,333,667,"187,788"
NY_Z_C&E,NY,3,,533,533,533,533,"560,807"
NY_Z_D,NY,3,436,532,501,496,506,"139,072"
NY_Z_F,NY,3,415,415,618,309,618,"154,429"
NY_Z_G-I,NY,3,421,421,421,421,421,"152,467"
,,4,463,434,599,490,490,"26,605"
NY_Z_J,NY,3,"1,472",127,,,,
,,4,"1,429","1,448","1,453","1,603","1,183","6,803"
